All Incident Codes,Age Category
010010,2
010010,2
010100,2
010000,2
010000000000,2
010100,2
000000,2
000000,2
010100,2
000000000100000100010000000001000100010000010100000100010100010101010101,2
000000,2
010101010100,2
100000100100,0
110000,0
010010,2
010000,2
000100010100000000011100,2
010100010000,2
010000,2
010000,2
010001,2
010100,2
010100010100010100010100010100,2
010000,2
000000001100,2
000100,2
010000,2
100000100001,0
010000010000,2
000000,2
010000,2
010000,2
010000,2
001100010001,2
000000010001,2
010000,2
010000,2
010000,2
010000,2
010010,2
010000010000,2
010000,2
010100,2
010100010100,2
010000,2
010000,2
010000010100,2
010000010101,2
010000,2
010000,2
010010,2
000010,2
010000,2
010100,2
010100010000000001000001,2
010000,2
010000,2
000000,2
000100000000,2
000100000100000100,2
010000,2
010100,2
010000010000010000,2
000100,2
000001,2
010010,2
000000,2
000000,2
010000,2
100000,0
100100110000110000110000,0
110100,0
010000,2
000010000000000000,2
000000,2
000000,2
010100,2
010001,2
010100,2
010100,2
010000,2
010000,2
010100,2
010100,2
010000,2
000000,2
000100,2
010000,2
000100,2
010000010101,2
000000,2
010000,2
000000,2
010000,2
000100010101,2
010000,2
010000,2
010000,2
010100010001,2
010100001100010000000100,2
100100010101,1
010100,2
010000,2
010000,2
010100,2
010000010000,2
010000010000,2
010000,2
110100,0
010000,2
000000010001,2
010100010000,2
100000110001,0
000100,2
010000,2
010000,2
000100,2
110000100100010101,1
010000,2
010010,2
010000000100000100,2
000000,2
000100000100,2
010000,2
000000000000,2
000100,2
010100010100010101,2
010000,2
000100,2
010000,2
110000100100110000,0
010000010000,2
010000,2
000100,2
000000,2
110100010100,1
110100,0
010000,2
000000000000,2
000000010101,2
000100,2
010100,2
110000,0
010000010001010000,2
000100,2
010010,2
010100010100010100000000,2
010000010001,2
010000,2
000000,2
010000,2
010100,2
010000000100000000,2
010000,2
010000010100010000010101,2
000001,2
110000,0
010100,2
010000,2
000000010001,2
000010,2
000000010100,2
010100000001,2
010100,2
000000000000,2
000000,2
000100,2
010010,2
010100,2
000100,2
010000000001010001010001,2
001100,2
000000010100,2
000100010100,2
000000000000000001,2
100100000100010000010000,1
000000,2
010000,2
000100000101,2
000100010010,2
010000,2
110000,0
000100,2
000000,2
000100,2
010010,2
000100000100000101000001010001,2
000100,2
110100,0
000100000100010000,2
010000,2
100000110100100000100101,0
000000,2
110100,0
010000010000,2
000000,2
000100000100,2
010100010000000100010100010100,2
110100,0
000000,2
000000,2
010000,2
010000,2
010000,2
010100,2
100000,0
000100,2
000000010000,2
010100,2
000000000001000101,2
010100000101,2
000000,2
010100,2
001010010010010000,2
100000,0
010100,2
110000110101,0
010000,2
010000,2
000000010000,2
010101010100,2
000000,2
010000,2
010100,2
000100010100,2
010100,2
010100,2
010000,2
110000100000,0
010000,2
010000010000,2
010000000100000101010101,2
010000010000,2
010000,2
010000,2
010100,2
010000,2
010100010100000100000000000100010010,2
010000,2
110000,0
110000110100110000100010100000110000100001100001,0
010100000000000100,2
010000,2
010100010100,2
010100010000,2
010000,2
010000,2
010000,2
110000,0
010000,2
010000,2
010000,2
000000010000,2
010000010100010001,2
010000,2
000000,2
010000,2
010100010000000001,2
010100,2
100000,0
010000000100,2
010100,2
010000010000,2
010000000000,2
010000,2
000000,2
100100110000,0
000000010000000001010001000001010001,2
000000,2
000100000100,2
010100000000,2
010100010000,2
000100,2
010010,2
000100000100,2
000100000000010100010101010001,2
000100000000,2
010001000100000000010001,2
000000,2
010100,2
000000,2
100000,0
010000,2
000100,2
010100010100,2
010100010000,2
000000,2
000100,2
000100,2
100100,0
000000,2
010010010010010010010010,2
000000,2
000100000100000100010101,2
000100000000010100,2
010000010001,2
010000,2
000000,2
110000,0
101100101100101110,0
000100,2
100001,0
000000,2
100100,0
000000000000000000000000,2
000000000100,2
010000,2
000000000001,2
000000,2
000100010000000100000100000100,2
000100,2
010100010100010001010101,2
010000010000,2
010000,2
001100,2
010100010100000001,2
101000,0
010000,2
010000,2
010000,2
000100,2
100000,0
110000100000100001100101,0
000000010101010001010101000101,2
010100,2
010000,2
000010000100,2
010000,2
010100,2
010100,2
110000,0
010000,2
010000010000010001010101,2
110000101100110000100000110000110000110100110000110100101100110100110000010000000101,1
010100,2
110000,0
010100000100,2
010000000100010000,2
000100000001000001,2
010010,2
010100,2
010100,2
000000,2
000000010001,2
000000,2
000000,2
010100,2
110100,0
000010000010,2
000000010000,2
000000,2
000010000010000010000010,2
100000,0
000000,2
000000,2
000000,2
010000,2
000000,2
010100,2
000100,2
000100,2
000100000100000001,2
010000010000000011,2
010100,2
010000010001,2
010100,2
000000,2
010100010000,2
010100,2
110000000101000001,1
010000,2
010010,2
010000,2
110000000001,1
010100010000000000010001,2
110000100000110100110000110101,0
010000000000000000010101,2
010000,2
010100,2
110100,0
010100,2
000000000100010001010001010001,2
010000,2
000100,2
010000,2
010000,2
010000,2
000000,2
000000,2
110000110000110000110001110001,0
000000,2
000100,2
010000,2
010000,2
110000010001,1
010010,2
010010,2
100100,0
010000,2
010000,2
000000010000010101,2
010010,2
010100,2
010010,2
010000,2
010000010001,2
000000000001,2
010000,2
000100,2
000100,2
010010,2
010000,2
010010,2
010000,2
010000010000000000,2
010000,2
010000010000,2
010100,2
000000,2
000100,2
100000,0
100000,0
100000110101,0
010000,2
110100,0
100000000101000001,1
000000000001,2
000100,2
110000110100,0
010000,2
000100000100000100,2
010100,2
010000,2
010000000100010100010100,2
000000,2
110100010000,1
010000010000010000010101,2
010000,2
010000000000,2
010000000101,2
010000,2
010000,2
010000,2
010100,2
000000,2
000000,2
010100010100010000,2
010000000100010101,2
010100,2
000100,2
001010,2
010100,2
010100,2
010000010011,2
110000110100010000,1
010000000000,2
010100010000,2
010100,2
000100000100000000,2
010100,2
010100,2
000101,2
010000,2
010000,2
110000,0
010000010100,2
010010,2
010000,2
110100010000010000000000,1
010000,2
010010,2
000100,2
010000,2
000100000000,2
010000,2
100100,0
110000,0
100000,0
000000,2
