,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Analysis notes
297,"SEXUAL CONDUCT, PAY FOR c272 §53A",1,168,"SEXUAL CONDUCT, PAY FOR",272,53A,yes,292,not in the list of non-expungable offenses.,,
298,"SEXUAL CONDUCT, PAY FOR OR FOR FEE c. 272 s. 53A",0,2,"SEXUAL CONDUCT, PAY FOR OR FOR FEE",272,53A,yes,292,not in the list of non-expungable offenses.,,
299,"TRAMP, THREATS BY c272 §64",0,1,"TRAMP, THREATS BY",272,64,yes,292,not in the list of non-expungable offenses.,,
300,"GRAVESTONE, VANDALIZE c272 §73",1,3,"GRAVESTONE, VANDALIZE",272,73,yes,292,not in the list of non-expungable offenses.,,
301,"GRAVE PLANTING, VANDALIZE c272 §73",1,1,"GRAVE PLANTING, VANDALIZE",272,73,yes,292,not in the list of non-expungable offenses.,,
302,"GRAVE, DISTURB c272 §73",0,2,"GRAVE, DISTURB",272,73,yes,292,not in the list of non-expungable offenses.,,
303,"CEMETERY, VANDALIZE c272 §74",1,0,"CEMETERY, VANDALIZE",272,74,yes,292,not in the list of non-expungable offenses.,,
304,"GRAVE FLOWERS/FLAG/TOKEN, REMOVE c272 §75",3,0,"GRAVE FLOWERS/FLAG/TOKEN, REMOVE",272,75,yes,292,not in the list of non-expungable offenses.,,
305,"PHOTOGRAPH, UNSUSPECTING NUDE PERSON c272 §104/B",0,32,"PHOTOGRAPH, UNSUSPECTING NUDE PERSON",272,104/B,yes,305,similar to 1646 on Master Crime List offense with Expunge categories.xlsx from Sana,,
306,"PHOTOGRAPH, SECRETLY NUDE PERSON c272 §105",0,12,"PHOTOGRAPH, SECRETLY NUDE PERSON",272,105,yes,305,1646 on Master Crime List offense with Expunge categories.xlsx from Sana,,
307,"PHOTO, VIDEO, ELEC SURVEIL SECRETLY INITIMATE PART c272 §105",0,11,"PHOTO, VIDEO, ELEC SURVEIL SECRETLY INITIMATE PART",272,105,yes,305,1646 on Master Crime List offense with Expunge categories.xlsx from Sana,,
308,"WIRETAP, UNLAWFUL c272 §99(C)(1)",11,19,"WIRETAP, UNLAWFUL",272,99(C)(1),yes,292,not in the list of non-expungable offenses.,,
